cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
13812265000136,2012-06-11,2020-05-07,1986,137.85049998516962,102.22572684615012
13812181000100,2011-08-08,2014-06-03,709,-86.43957657482336,27.509992239281477
13896109000109,2012-01-04,2013-08-14,405,1.1952402946809437,13.138261786777905
13910903000151,2012-06-08,2016-02-16,928,29.028062854573776,43.422682078269894
13962959000150,2012-04-27,2020-05-07,2015,213.80471323503863,104.16659432224967
14049198000102,2011-10-27,2019-10-21,2000,-63.263001976568844,109.6841407541767
13973228000100,2013-08-12,2020-05-07,1692,123.90675269665476,86.02246805026066
14076670000104,2011-08-19,2016-03-08,1144,-51.613995603244,56.540067686092435
14099093000168,2012-06-01,2017-01-26,1172,108.31788120108415,62.67238147274963
14106765000115,2011-10-10,2020-05-07,2153,112.11569025319115,115.63726443779481
14106768000159,2011-10-20,2017-01-02,1309,75.57821717481599,71.12254403421514
14115146000197,2011-10-18,2020-05-07,2148,5.280021099448851,115.15773502467025
14126368000105,2011-10-07,2014-04-23,638,25.58243955548123,23.632863721401655
14163496000129,2011-12-02,2020-05-07,2117,90.86362777209895,112.32061628247743
14167508000193,2011-12-28,2020-05-07,2099,52.32937315560318,110.76182020916643
14172724000127,2011-12-14,2019-02-14,1796,115.71460782799159,98.5864420923414
14237063000170,2011-11-03,2020-05-06,2134,151.1037316983873,114.10919533843598
14196837000162,2011-09-05,2020-05-06,2172,118.5294206253536,117.92394448631396
14205054000106,2011-12-06,2013-12-06,507,19.42366675490723,17.313211553666985
14367661000164,2011-10-10,2019-08-12,1967,70.23728468971342,108.4915386364691
14421982000108,2012-05-31,2014-07-01,523,14.181092332223223,18.355721467674634
14427824000157,2012-07-24,2020-05-07,1955,103.20066173385234,100.27085719084229
14487234000110,2012-08-23,2017-07-21,1234,92.90958830477159,68.22149979536836
14507724000130,2011-12-21,2017-02-09,1292,-13.183167364988824,70.43387896320779
14572547000176,2011-12-29,2020-05-07,2098,7.250691807931275,110.67568756106394
14583467000116,2012-10-04,2020-05-07,1904,98.3924046760756,97.32130631213903
14706573000140,2012-11-07,2020-05-07,1882,53.16222302971254,96.13545602279655
14843675000107,2016-04-14,2020-05-07,1019,66.42275334852161,38.04419246845667
14843717000100,2016-02-29,2020-05-07,1051,73.43102405846264,40.38055533851801
14916730000141,2016-04-05,2020-05-07,1026,51.96694671566833,38.55192654345332
14843784000124,2016-03-02,2020-05-07,1049,37.99717083295102,40.23338107600401
14951577000193,2012-09-13,2020-05-07,1919,94.13784168922152,98.15647214035515
14985351000103,2013-10-04,2020-05-07,1653,66.05950646525028,83.67504227393717
12440835000141,2011-02-07,2012-08-22,389,17.9656065020108,16.832364522155085
12474225000169,2010-12-29,2020-05-07,2350,38.63526767460221,135.19456358059583
12474880000117,2010-12-29,2020-05-07,2350,62.78135779084837,135.19456358059583
12474312000116,2010-10-01,2012-12-27,563,-2.8738411977742406,23.964716971377165
12636362000152,2011-04-01,2012-07-11,322,13.0724190030463,13.965271122362143
